"ID,""Description"",""GeneRatio"",""BgRatio"",""RichFactor"",""FoldEnrichment"",""zScore"",""pvalue"",""p.adjust"",""qvalue"",""geneID"",""Count"""
"GO:0048736,""appendage development"",""40/1653"",""196/18860"",0.204081632653061,2.32848130177661,5.79461113489857,3.42277224243729e-07,6.05873351030115e-05,5.08848639484344e-05,""23657/146057/3239/51776/221833/83999/10979/3236/51222/55636/54542/3209/7042/2583/221322/775/9215/64093/340419/730094/4882/10512/9241/5396/2260/7473/4089/4774/27164/5087/2719/2737/2254/7021/8854/3235/2263/10018/1291/145173"",40"
"GO:0060173,""limb development"",""40/1653"",""196/18860"",0.204081632653061,2.32848130177661,5.79461113489857,3.42277224243729e-07,6.05873351030115e-05,5.08848639484344e-05,""23657/146057/3239/51776/221833/83999/10979/3236/51222/55636/54542/3209/7042/2583/221322/775/9215/64093/340419/730094/4882/10512/9241/5396/2260/7473/4089/4774/27164/5087/2719/2737/2254/7021/8854/3235/2263/10018/1291/145173"",40"
"GO:0042391,""regulation of membrane potential"",""75/1653"",""474/18860"",0.158227848101266,1.80530987004832,5.50366184958713,3.4960343738405e-07,6.05873351030115e-05,5.08848639484344e-05,""23530/3777/64091/11149/3785/7871/857/4204/148/54795/4355/801/54434/6332/288/56479/23327/23111/3755/775/3778/665/22871/11280/6546/5026/4882/2316/2273/5831/1029/1756/9294/477/401190/2257/274/8671/9783/596/81832/5350/4693/54413/10052/3760/1136/6326/2562/781/4915/9378/27068/776/2560/3764/4137/2767/2561/57596/6833/6330/287/27012/4297/63895/219736/153/259232/8912/3757/4233/1291/23704/7124"",75"
"GO:0030048,""actin filament-based movement"",""33/1653"",""147/18860"",0.224489795918367,2.56132943195427,5.89012732310892,3.71475813341295e-07,6.24844169558491e-05,5.24781466339422e-05,""55742/122786/7168/857/5144/54795/10630/6332/23327/775/11280/2316/477/2257/274/10163/5350/10052/3760/6326/781/9444/776/59/3764/6444/6330/287/4646/4430/3757/2934/23704"",33"
"GO:0090287,""regulation of cellular response to growth factor stimulus"",""64/1653"",""385/18860"",0.166233766233766,1.89665386035622,5.50942330164473,4.37825943402932e-07,7.1540759152039e-05,6.00842039021828e-05,""5465/55959/1745/10468/8321/858/857/284/84312/25960/8829/81848/23089/3209/93649/147372/23111/8473/493/161742/91851/11156/8573/25928/1756/2247/3678/9241/4804/222223/5579/6653/348093/8322/753/57608/4089/3690/9480/203100/9378/54829/90993/5046/11117/2719/3280/9518/63976/27122/23090/7041/11167/54756/2254/7049/7021/2200/650/222663/4681/1028/168667/1001"",64"
"GO:0032970,""regulation of actin filament-based process"",""66/1653"",""402/18860"",0.164179104477612,1.87321107710088,5.48508193945231,4.60639640010076e-07,7.20493031588265e-05,6.05113095432079e-05,""5063/171024/673/23221/90102/10979/122786/7168/5987/857/5144/54795/23189/9475/5058/1902/10630/6711/6840/2044/8829/1073/54434/80206/7042/10602/961/25959/5295/775/8153/9037/8851/2316/2824/477/25802/2042/390/274/51676/9873/10163/26084/83700/11034/5350/4739/85458/7043/4089/440335/50853/3690/55243/59/55704/11170/23500/57216/287/6385/4233/2934/10174/10391"",66"
"GO:0007411,""axon guidance"",""46/1653"",""243/18860"",0.189300411522634,2.15983409638044,5.64010691901611,4.66134676845005e-07,7.20493031588265e-05,6.05113095432079e-05,""9706/2047/23022/8609/8543/5747/1272/9423/55740/2044/8829/7042/3730/1908/80031/9037/2045/8851/91624/10512/25894/2676/115557/9241/4804/2042/9638/10752/4693/7473/4089/2115/8828/10371/9378/284656/6585/153478/2737/57216/2051/1909/4753/151449/7976/347733"",46"
"GO:0097485,""neuron projection guidance"",""46/1653"",""244/18860"",0.188524590163934,2.15098231729692,5.60871738720371,5.26532255651444e-07,7.92431044755423e-05,6.65530936991008e-05,""9706/2047/23022/8609/8543/5747/1272/9423/55740/2044/8829/7042/3730/1908/80031/9037/2045/8851/91624/10512/25894/2676/115557/9241/4804/2042/9638/10752/4693/7473/4089/2115/8828/10371/9378/284656/6585/153478/2737/57216/2051/1909/4753/151449/7976/347733"",46"
"GO:0007517,""muscle organ development"",""62/1653"",""373/18860"",0.166219839142091,1.89649495839071,5.42016146894005,6.6235386028035e-07,9.52647596303496e-05,8.00090369485437e-05,""2047/6443/8321/1489/10362/3236/64091/858/11149/7168/4638/857/53834/55909/26548/55636/4534/6840/1073/27230/93649/7042/57158/3131/9215/157680/57462/11280/2273/283078/6876/1756/9241/1674/51676/596/23493/339855/10290/51804/6285/4089/2115/8910/257194/30008/6665/6444/3679/57216/7049/650/406/3235/6943/2263/1909/1827/8912/6525/1291/6442"",62"
"GO:0086003,""cardiac muscle cell contraction"",""24/1653"",""91/18860"",0.263736263736264,3.00911429768054,5.95453635252123,6.66303616928481e-07,9.52647596303496e-05,8.00090369485437e-05,""857/5144/54795/6332/23327/775/11280/2316/477/2257/274/5350/10052/3760/6326/781/776/3764/6444/6330/287/3757/2934/23704"",24"
"GO:0086002,""cardiac muscle cell action potential involved in contraction"",""19/1653"",""63/18860"",0.301587301587302,3.44097792373654,6.014964013436,1.05372625295094e-06,0.000146981961966499,0.000123444233432995,""857/54795/6332/23327/775/11280/2316/2257/274/10052/3760/6326/781/776/3764/6330/287/3757/23704"",19"
"GO:1902905,""positive regulation of supramolecular fiber organization"",""36/1653"",""176/18860"",0.204545454545455,2.33377330473519,5.50993661831438,1.22836001548069e-06,0.00016726168877462,0.000140476359665122,""4131/171024/673/10979/7168/5987/4204/9475/5058/1902/8829/1073/80206/10602/961/1191/9037/8851/2316/25802/274/9873/10163/11034/7043/348/55243/2242/55704/4137/9659/6385/4233/2934/10174/84722"",36"
"GO:0045664,""regulation of neuron differentiation"",""39/1653"",""199/18860"",0.195979899497487,2.2360441043694,5.43295648924328,1.39500176256439e-06,0.000185535234421064,0.00015582357509379,""1746/1745/4131/10362/1600/55906/7225/152/811/22871/8851/730094/259266/1756/2247/54845/274/2260/5121/90527/596/23493/85458/7732/3400/6657/51704/2138/6285/5087/57721/2309/3280/4211/2737/650/221336/4681/151449"",39"
"GO:0060541,""respiratory system development"",""43/1653"",""231/18860"",0.186147186147186,2.12385718737806,5.32678936061447,1.73434066828736e-06,0.000214524897090772,0.000180170825857519,""23657/80004/53834/55636/54542/10630/83716/6493/93649/147372/3694/340419/730094/2247/3371/9241/5241/2260/9678/51804/7043/10413/84525/2294/2719/3280/4054/302/25803/2737/8820/57216/2254/7068/2200/8854/650/3488/6943/2263/55211/1291/7124"",43"
"GO:0060828,""regulation of canonical Wnt signaling pathway"",""49/1653"",""278/18860"",0.176258992805755,2.01103726818908,5.26364404493249,1.7723828468351e-06,0.000214524897090772,0.000180170825857519,""55959/25937/6907/83999/8321/4163/85407/7089/857/54795/23189/25960/51339/1454/8313/9037/340419/55206/7162/259266/25928/2247/9241/27303/169200/1501/8324/6657/10413/51704/348/4089/2308/2719/81847/2309/1540/2737/27122/23500/2254/650/406/2263/79705/1001/57805/6663/55897"",49"
