",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B"",""GeneSymbol"""
"228127_at,1.04101290508378,6.67073466032021,4.02268172607976,0.000556979318427949,0.165125500246814,-0.181143322845624,""KCNK3"""
"227250_at,0.740822532452857,7.37556085267511,4.02081418602791,0.000559537875424741,0.165125500246814,-0.185022298765727,""KREMEN1"""
229490_s_at,-0.852499020564037,6.50342654320445,-4.020731770076,0.000559651054981035,0.165125500246814,-0.185193479405283,NA
"204451_at,0.867320145827838,8.69939101199582,4.01819594671502,0.000563144564072367,0.165125500246814,-0.190460405264847,""FZD1"""
230502_s_at,0.753559570430417,10.3369575601098,4.01520315845991,0.000567295485107667,0.165125500246814,-0.196676292556261,NA
"213381_at,0.843903101156765,6.68117153826731,4.01164086401424,0.0005722759139051,0.165125500246814,-0.204074789528711,""VSTM4"""
"214469_at,-1.53047234407072,9.58512880117125,-4.01120258054791,0.000572891667589485,0.165125500246814,-0.204985038941325,""H2AC8"""
"205802_at,0.886656029177043,8.15497239769185,4.0005970713853,0.000587993743365656,0.165125500246814,-0.227009882977269,""TRPC1"""
"213338_at,1.27814622068607,7.35261681383337,4.00017364352603,0.000588604832927089,0.165125500246814,-0.22788918094087,""TMEM158"""
"206044_s_at,-0.633254086560523,8.50560167860993,-3.99823771715222,0.000591406794128481,0.165125500246814,-0.231909310256432,""BRAF"""
"230092_at,0.976328347663698,6.11764046845571,3.99562810144758,0.00059520478019311,0.165125500246814,-0.237328284833777,""UBXN10"""
"231823_s_at,1.13702634854943,7.24151116607894,3.99255324126264,0.00059971094941045,0.165125500246814,-0.24371315970501,""SH3PXD2B"""
"223222_at,-0.599931405003063,6.5219779049209,-3.98911959825616,0.000604782931594165,0.165125500246814,-0.250842778674246,""SLC25A19"""
"209441_at,0.531434954861052,4.97865164483171,3.98450072635214,0.000611672867511011,0.165125500246814,-0.260432963929759,""RHOBTB2"""
